# Here is the example of the result from the batch search in GOBI
Title,Title_Remark,Author,Publisher,Pub_Year,ISBN,Binding
,,,,,9781281019448,
,,,,,9781283627375,
,,,,,9781283627375,
,,,,,9781283627399,
,,,,,9781283706650,
,,,,,9781283742269,
,,,,,9781481304009,
,,,,,9781481305402,
ACTS OF PHILIP: A NEW TRANSLATION; TRANS. BY FRANCOIS BOVON.,,,BAYLOR UNIVERSITY PRESS,2012,9781602586567,eBook
ACTS OF PHILIP: A NEW TRANSLATION; TRANS. BY FRANCOIS BOVON.,,,BAYLOR UNIVERSITY PRESS,2012,9781602586567,eBook
"ADVANCES IN MEDICINAL CHEMISTRY, V. 5, 2000",,,JAI,2000,9780080526775,eBook
BECAUSE OF BEAUVOIR: CHRISTIANITY AND THE CULTIVATION OF FEMALE GENIUS.,,"JASPER, ALISON E",BAYLOR UNIVERSITY PRESS,2012,9781602586383,eBook
BECAUSE OF BEAUVOIR: CHRISTIANITY AND THE CULTIVATION OF FEMALE GENIUS.,,"JASPER, ALISON E",BAYLOR UNIVERSITY PRESS,2012,9781602583214,Cloth
BRUTAL UNITY: THE SPIRITUAL POLITICS OF THE CHRISTIAN CHURCH.,,"RADNER, EPHRAIM, 1956-",BAYLOR UNIVERSITY PRESS,2012,9781602586314,eBook
COMPREHENSIVE COMPOSITE MATERIALS,,,PERGAMON,2000,9780080429939,Cloth
COMPREHENSIVE COMPOSITE MATERIALS (V.1).,,,ELSEVIER SCIENCE LTD,2004,9780080437194,Cloth
COMPREHENSIVE COMPOSITE MATERIALS VOL 3.,,"KELLY, A",ELSEVIER SCIENCE,,9780080437217,Paper
COMPREHENSIVE COMPOSITE MATERIALS VOL 5.,,"KELLY, A",ELSEVIER SCIENCE,,9780080437231,Paper
COMPREHENSIVE COMPOSITE MATERIALS VOL 6.,,"KELLY, A",ELSEVIER SCIENCE,,9780080437248,Paper
COMPREHENSIVE COMPOSITE MATERIALS.,,"A. KELLY, MARGARET ASHBY, C. ZWEBEN, A. A. BAKER, P BEARDMORE",PERGAMON,2000,9780080437200,Cloth
COMPREHENSIVE COMPOSITE MATERIALS. VOL 4.,,"KELLY, A",ELSEVIER SCIENCE,,9780080437224,Paper
HIGHER EDUCATION: BAYLOR AND THE VOCATION OF A CHRISTIAN UNIVERSITY,,,BAYLOR UNIVERSITY PRESS,2014,9781602587984,eBook
"ORIGINS: GOD, EVOLUTION, AND THE QUESTION OF THE COSMOS.",,"ROLNICK, PHILIP A",BAYLOR UNIVERSITY PRESS,2015,9781602583702,eBook
POLYMER MATRIX COMPOSITES,,,PERGAMON,2001,9780080437255,Cloth
PURSUED JUSTICE: BLACK PREACHING FROM THE GREAT MIGRATION TO CIVIL RIGHTS.,,"GILBERT, KENYATTA R",BAYLOR UNIVERSITY PRESS,2016,9781481305419,eBook
THEOLOGY AND DOWN SYNDROME: REIMAGINING DISABILITY IN LATE MODERNITY.,,"YONG, AMOS",BAYLOR UNIVERSITY PRESS,2007,9781602580770,eBook
