ocn191747947,\\$a9781602580770$q(electronic bk.);\\$a1602580774$q(electronic bk.);\\$a1602580065$q(pbk. ;$qalk. paper);\\$a9781602580060$q(pbk. ;$qalk. paper);\\$z9781602580060$q(pbk. ;$qalk. paper),10$aTheology and Down syndrome :$breimagining disability in late modernity /$cAmos Yong.
ocn859674273,\\$a9781602587984;\\$a1602587981;\\$a1283742268;\\$a9781283742269;\\$z9781602586819$q(hardback ;$qalk. paper);\\$z1602586810,02$aA higher education :$bBaylor and the vocation of a Christian university /$cedited by Elizabeth Davis.
ocn819505337,\\$a128362737X;\\$a9781283627375;\\$a160258656X$q(electronic bk.);\\$a9781602586567$q(electronic bk.);\\$z9781602586550$q(pbk. ;$qalk. paper);\\$z1602586551$q(pbk. ;$qalk. paper),04$aThe Acts of Philip :$ba New Translation.
ocn819505337,\\$a128362737X;\\$a9781283627375;\\$a160258656X$q(electronic bk.);\\$a9781602586567$q(electronic bk.);\\$z9781602586550$q(pbk. ;$qalk. paper);\\$z1602586551$q(pbk. ;$qalk. paper),04$aThe Acts of Philip :$ba New Translation.
ocn817816580,\\$a1283627396;\\$a9781283627399;\\$a1602586314$q(electronic bk.);\\$a9781602586314$q(electronic bk.);\\$z9781602586291$q(hardcover ;$qalk. paper);\\$z1602586292$q(hardcover ;$qalk. paper),02$aA Brutal Unity :$bthe Spiritual Politics of the Christian Church.
ocn816042025,\\$a1602583218;\\$a9781602583214;\\$a9781283706650$q(MyiLibrary);\\$a1283706652$q(MyiLibrary);\\$a9781602586383$q(electronic bk.);\\$a1602586381$q(electronic bk.),10$aBecause of Beauvoir :$bChristianity and the cultivation of female genius /$cAlison E. Jasper.
ocn674250997,,14$aThe Constitution and what it means to-day.
ocn925585778,\\$a9781602583702;\\$a1602583706;\\$z9781481302852$q(pbk. ;$qalk. paper);\\$z9781602583689;\\$z1602583684,"00$aTeaching global theologies :$bpower and praxis /$cKwok Pui-lan, Dwight N. Hopkins, and Cecilia Gonza?lez-Andrieu, editors."
ocm54893798\,\\$a0080429939$q(Online version);\\$a9780080429939$q(Online version);\\$a0080437192$q(Online version ;$qv. 1);\\$a9780080437194$q(Online version ;$qv. 1);\\$a0080437206$q(Online version ;$qv. 2);\\$a9780080437200$q(Online version ;$qv. 2);\\$a0080437214$q(Online version ;$qv. 3);\\$a9780080437217$q(Online version ;$qv. 3);\\$a0080437222$q(Online version ;$qv. 4);\\$a9780080437224$q(Online version ;$qv. 4);\\$a0080437230$q(Online version ;$qv. 5);\\$a9780080437231$q(Online version ;$qv. 5);\\$a0080437249$q(Online version ;$qv. 6);\\$a9780080437248$q(Online version ;$qv. 6);\\$a0080437257;\\$a9780080437255,"00$aComprehensive composite materials /$ceditors-in-chief Anthony Kelly, Carl Zweben."
ocn166344406,\\$a1281019445;\\$a9781281019448;\\$a9780080526775;\\$a0080526772;\\$z9780762305933;\\$z0762305932,00$aAdvances in medicinal chemistry.$nVolume 5.
ocn945804346,\\$a9781481304009 (ePub);\\$a1481304003 (ePub);\\$a9781481305402 (ebook-Mobi/Kindle);\\$a1481305409 (ebook-Mobi/Kindle);\\$a9781481305419 ( web PDF);\\$a1481305417 ( web PDF);\\$z9781481303989 (hardback : alk. paper);\\$z1481303988,12$aA pursued justice :$bBlack preaching from the great migration to Civil Rights /$cKenyatta R. Gilbert.
